pouf;Alec Ottoman;legno massello, multistrato, schiuma di poliuretano espanso, pelle;20;3100;116x116x38;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/Alec-ottoman_disegno-tecnico.jpg.webp?itok=8BlCocr0;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/SICIS_Alec-Ottoman-%28A%29-MHPx.png.webp?itok=xI073Tyq;https://www.sicis.com/IT/it/arredo/alec-ottoman;-;Il pouf Alec ha un design minimal che non ne compromette la comodità. Elegante ed eterno. ;Pouf con struttura in legno imbottito con schiuma di poliuretano espanso. Rivestito in tessuto o pelle.;Optional 1: trapuntatura Hexagon.;Optional 2: rivestimento in Cavallino stampato.;-;-;mobilio;pouf;-;
pouf;Chamaleon pouf quadrato;legno massello, multistrato, schiuma di poliuretano espanso a varie densità, tessuti diversi;6;1700;42x42x45;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/Chamaleon-square-pouf_disegno-tecnico.jpg.webp?itok=urv_omYu;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/SICIS_Chamaleon-Square-Pouff1-%28A%29-STX.png.webp?itok=Wc3fCT1J;https://www.sicis.com/IT/it/arredo/chamaleon-pouf-quadrato;-;Che sia per aggiungere un posto in più in soggiorno o un sofisticato accento in una camera da letto oppure in un bagno, questo pouf quadrato riesce ad arricchire l'aspetto di qualsiasi spazio, grazie alla sua silhouette elegante e ai suoi colori vivaci.;Pouf con struttura in legno multistrato imbottito con schiuma di poliuretano espanso. Zoccolo e struttura rivestito in tessuto oppure pelle. Optional: rivestimento in Cavallino stampato.;-;-;-;-;mobilio;pouf;-;
divani;Botero;Legno massello, compensato, pelle;85;10900;266x110x88;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS_Botero_sofa_tech-sheet_0010_Botero_BO.01.jpg.webp?itok=NGqYeFgw;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/SICIS_Botero_sofa_big.png.webp?itok=i0dq-5x4;https://www.sicis.com/IT/it/arredo/botero;caricabatterie wireless sul bracciolo;Divano modulare monoscocca, dalle linee morbide e la seduta confortevole. Il rivestimento, completamente sfoderabile e lavabile può essere in tessuto o pelle. I diversi moduli, tra cui chaise lounge, modulo angolare, modulo centrale, permettono di comporre diverse soluzioni.;Poltrona con struttura in legno massello e multistrati. Basamento girevole. Imbottitura con schiuma in poliuretano espanso a varie densità. Rivestimento in pelle o tessuto interamente sfoderabile.;-;-;-;-;mobilio;divani;-;
divani;Bloom Meridienne;Legno massello, multistrati;40;8700;200x90x70;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS-Bloom-Meridienne_sofa_technical_sheet.jpg.webp?itok=uPyJ5z_9;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/SICIS-Bloom-Meridienne-big_0.png.webp?itok=7G-qb1Sq;https://www.sicis.com/IT/it/arredo/bloom-meridienne;-;Il divano Bloom Meridienne ha una forma morbida e aggraziata. Una chaise-longue dalle proporzioni perfette. Una speciale foglia che porta allegria e dinamicità negli ambienti.;Chaise loungue con struttura in legno massello e multristrati. Imbottitura con schiumadi poliuretano espanso ignifugo a varie densità. Con cuscini schienali in misto piuma: n°3 cuscini 50x50cm.;-;-;-;-;mobilio;divani;-;
tavoli;Boston Table;Metallo, vetrite;200;19500;250x120x77;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS-Boston-220-table-technical_sheet.jpg.webp?itok=0KHca1jg;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Boston-250-Table-EM-Gold-%28A%29-STX.png.webp?itok=DSXzNUIi;;-;L’originalità del materiale scelto per il top e la base, lastre di Vetrite dalle venature dorate, insieme a metalli pregiati, fanno del tavolo Boston un pezzo di arredamento davvero eclettico.;Tavolo rettangolare con struttura in acciaio inox disponibile nelle finiturie lucida o verniciata. Top in Vetrite e Vetrite Gem Glass.;-;-;-;-;\;tavoli;-;
tavoli;Dalton Square Table;Ebano, marmo, vetrite, laccato lucido;120;19600;160x160x75;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS-Dalton-square-table-technical_sheet.jpg.webp?itok=0fJPaepD;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Dalton-Square-Table1-%28B%29-STL.png.webp?itok=1Prm00eH , https://www.sicis.com/sites/default/files/styles/original/public/img-gallery-prodotto/Dalton%20Square%20Table1%20%28B%29%20STL%20R_0.jpg.webp?itok=l7QONIRO , https://www.sicis.com/sites/default/files/styles/original/public/img-gallery-prodotto/Dalton%20Square%20Table1%20DET1%20R.jpg.webp?itok=uOU-BEFq , https://www.sicis.com/sites/default/files/styles/original/public/img-gallery-prodotto/Dalton%20Square%20Table2%20%28B%29%20STL%20R.jpg.webp?itok=r4ApT4LP;https://www.sicis.com/IT/it/arredo/tavoli/dalton-square-table;Optional: inserti decorativi in finitura metallo liquido.;Ispirato al neoplasticismo e alla sua apparente semplicità. Linee pure e materiali di straordinaria eleganza, per un tavolo adatto ad ambienti sia residenziali che di accoglienza.;-;MODELLO EBANO: tavolo con base in ebano lucido e inserti decorativi in finitura bronzo antico. Top in ebano lucido ed inserto in Vetrite.;MODELLO AVORIO: tavolo con base laccata avorio lucido e inserti decorativi in bronzo antico. Top in marmo Calacatta Gold con inserto in Vetrite.;-;-;\;tavoli;-;
tavolini;Queen B Side Table;legno, laccato lucido, mosaico, bronzo antico, silver antico;25;13600;54x50x49;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS_coffee-table_sheet_queen-b.jpg.webp?itok=RVwfoTq3;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Queen-B-Side-Table-Gold-%28A%29-STL_11zon.png.webp?itok=GVd6yiG1;https://www.sicis.com/IT/it/arredo/queen-b-side-table;-;Originali dischi in forme e materiali diversi, impilati uno sopra l’altro a formare questo tavolino insolito e moderno. L’inserto in mosaico, firma di SICIS, lo rende ancora più unico.;Tavolino in legno costituito da dischi sagomati, finitura laccato lucido alternati a dischi decorati con inserti in mosaico abbinti alla base in color bronzo antico o silver antico.;-;-;-;-;\;tavolini;-;
sedie;Koro Chair;legno massello, multistrati, schiuma di poliuretano espanso;15;4400;60,5x90x57;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/Koro_chair_disegno-tecnico.jpg.webp?itok=8KflCqUQ;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Koro-Chair-%28A%29-STL.png.webp?itok=ZrmZ2fLD ;https://www.sicis.com/IT/it/arredo/sedute/koro-chair;Base girevole;Più che una sedia un elemento di design, per chi ama avere un arredamento che si distingue e che, allo stesso tempo, porti un senso di eleganza e importanza alla stanza in cui si trova.;Poltrona con struttura in legno massello e multistrati. Imbottitura con schiuma di poliuretano espanso. Profili decorativi in finitura patinata. Base girevole;-;-;-;-;\;sedute;-;
sedie;Lucrezia Chair;legno massello, multistrati, poliuretano espanso, legno laccato nero opaco o avorio opaco.;10;3700;65x96x68;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/Lucrezia_chair_disegno-tecnico.jpg.webp?itok=Hq7ednUp;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Lucrezia-Chair1-%28B%29-STL.png.webp?itok=4k9IkXAE;https://www.sicis.com/IT/it/arredo/sedute/lucrezia-chair;Optional: Finitura lucida per gambe e braccioli;In legno e pregiati tessuti di cui sono rivestiti seduta e schienale, la sedia è un modo efficace per cambiare aspetto allo spazio dedicato al pranzo. Un giusto equilibrio tra estetica e comodità.;;-;-;-;-;\;sedute;-;
sgabelli;Amaretto Bar Stool;legno massello, multistrato, schiuma di poliuretano espanso a varie densità, metallo in finitura patinata;15;2600;47x97x52;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS-Amaretto-Barstool-Low_stool_technical-sheet.jpg.webp?itok=R2BeibNH;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/Amaretto-Barstool1-High-RND-%28A%29.png.webp?itok=bcQGi18S;https://www.sicis.com/IT/it/arredo/sedute/amaretto-bar-stool;-;Lo sgabello ha un design dinamico. Le sue gambe flessuose e la seduta confortevole e divertente sono un insieme avvincente, proporzioni armoniose, seducenti. ;-;-;-;-;-;\;sedute;-;
sgabelli;P08 Stool;legno, acciaio, velluti;8;3200;45,2x65,5x45,2;-;https://www.sicis.com/sites/default/files/styles/original/public/img-disegno-tecnico/SICIS-P08_stool_technical-sheet.jpg.webp?itok=uZaHYysx;https://www.sicis.com/sites/default/files/styles/original/public/img-prodotto/P08-Barstool-%28A%29-STL1.png.webp?itok=9scIyxwn;https://www.sicis.com/IT/it/arredo/sedute/p08-stool;-;Uno sgabello originale e moderno, fatto di materiali eleganti come il legno, l’acciaio e i velluti, con dettagli costruttivi semplici. Un aspetto compatto e dinamico. Tecnologia e tradizione insieme.;-;-;-;-;-;\;sedute;-;
